Quality;Polygons;Lights;Shadows;Particles;IsComplexMaterial;FPS
0;137500;3;1;3500;0;3.3
0;137500;6;0;50;0;3.73
0;137500;6;0;250;0;3.96
0;137500;6;0;750;0;4.42
0;137500;6;0;1500;0;3.56
0;137500;6;0;2500;0;3.9
0;137500;6;0;3500;0;4.06
0;137500;6;1;50;0;4.42
0;137500;6;1;250;0;4.14
0;137500;6;1;750;0;4.14
0;137500;6;1;1500;0;3.99
0;137500;6;1;2500;0;3.66
0;137500;6;1;3500;0;4.02
0;137500;10;0;50;0;4.18
0;137500;10;0;250;0;4.14
0;137500;10;0;750;0;4.04
0;137500;10;0;1500;0;4.06
0;137500;10;0;2500;0;4.02
0;137500;10;0;3500;0;4.07
0;137500;10;1;50;0;3.93
0;137500;10;1;250;0;4.1
0;137500;10;1;750;0;4.09
0;137500;10;1;1500;0;3.76
0;137500;10;1;2500;0;4.0
0;137500;10;1;3500;0;3.99
0;137500;14;0;50;0;4.23
0;137500;14;0;250;0;4.23
0;137500;14;0;750;0;4.27
0;137500;14;0;1500;0;3.96
0;137500;14;0;2500;0;4.1
0;137500;14;0;3500;0;4.09
0;137500;14;1;50;0;4.14
0;137500;14;1;250;0;4.12
0;137500;14;1;750;0;3.92
0;137500;14;1;1500;0;4.12
0;137500;14;1;2500;0;3.94
0;137500;14;1;3500;0;3.87
0;137500;20;0;50;0;3.96
0;137500;20;0;250;0;3.91
0;137500;20;0;750;0;4.41
0;137500;20;0;1500;0;4.06
0;137500;20;0;2500;0;4.17
0;137500;20;0;3500;0;4.04
0;137500;20;1;50;0;4.18
0;137500;20;1;250;0;4.15
0;137500;20;1;750;0;4.1
0;137500;20;1;1500;0;3.87
0;137500;20;1;2500;0;4.09
0;137500;20;1;3500;0;3.61
0;212500;3;0;50;0;4.21
0;212500;3;0;250;0;3.97
0;212500;3;0;750;0;3.88
0;212500;3;0;1500;0;3.81
0;212500;3;0;2500;0;3.85
0;212500;3;0;3500;0;3.94
0;212500;3;1;50;0;3.76
0;212500;3;1;250;0;4.11
