Quality;Polygons;Lights;Shadows;Particles;IsComplexMaterial;FPS
0;10000;4;1;2000;0;30.04
0;10000;4;1;3000;0;26.14
0;10000;8;0;0;0;37.52
0;10000;8;0;100;0;37.59
0;10000;8;0;500;0;37.22
0;10000;8;0;1000;0;32.47
0;10000;8;0;2000;0;29.08
0;10000;8;0;3000;0;24.29
0;10000;8;1;0;0;35.46
0;10000;8;1;100;0;36.86
0;10000;8;1;500;0;36.61
0;10000;8;1;1000;0;34.72
0;10000;8;1;2000;0;30.44
0;10000;8;1;3000;0;25.62
0;10000;12;0;0;0;36.97
0;10000;12;0;100;0;36.44
0;10000;12;0;500;0;37.55
0;10000;12;0;1000;0;35.26
0;10000;12;0;2000;0;30.20
0;10000;12;0;3000;0;26.13
0;10000;12;1;0;0;36.92
0;10000;12;1;100;0;37.21
0;10000;12;1;500;0;35.73
0;10000;12;1;1000;0;31.65
0;10000;12;1;2000;0;29.77
0;10000;12;1;3000;0;25.66
0;10000;16;0;0;0;37.74
0;10000;16;0;100;0;37.57
0;10000;16;0;500;0;35.09
0;10000;16;0;1000;0;35.62
0;10000;16;0;2000;0;30.94
0;10000;16;0;3000;0;29.14
0;10000;16;1;0;0;38.87
0;10000;16;1;100;0;38.01
0;10000;16;1;500;0;36.18
0;10000;16;1;1000;0;32.19
0;10000;16;1;2000;0;31.49
0;10000;16;1;3000;0;25.91
0;25000;0;0;0;0;9.12
0;25000;0;0;100;0;15.32
0;25000;0;0;500;0;15.79
0;25000;0;0;1000;0;16.15
0;25000;0;0;2000;0;16.32
0;25000;0;0;3000;0;15.24
0;25000;0;1;0;0;18.32
0;25000;0;1;100;0;18.17
0;25000;0;1;500;0;17.50
0;25000;0;1;1000;0;17.60
0;25000;0;1;2000;0;16.29
0;25000;0;1;3000;0;15.28
0;25000;1;0;0;0;18.78
0;25000;1;0;100;0;17.93
0;25000;1;0;500;0;17.44
0;25000;1;0;1000;0;17.42
0;25000;1;0;2000;0;16.83
0;25000;1;0;3000;0;16.07
0;25000;1;1;0;0;17.97
0;25000;1;1;100;0;17.73
0;25000;1;1;500;0;17.03
0;25000;1;1;1000;0;16.52
0;25000;1;1;2000;0;15.76
0;25000;1;1;3000;0;15.42
0;25000;2;0;0;0;17.90
0;25000;2;0;100;0;18.25
0;25000;2;0;500;0;18.23
0;25000;2;0;1000;0;18.05
0;25000;2;0;2000;0;17.43
0;25000;2;0;3000;0;16.56
0;25000;2;1;0;0;18.16
0;25000;2;1;100;0;17.80
0;25000;2;1;500;0;17.82
0;25000;2;1;1000;0;17.26
0;25000;2;1;2000;0;16.38
0;25000;2;1;3000;0;15.55
0;25000;4;0;0;0;19.17
0;25000;4;0;100;0;18.57
0;25000;4;0;500;0;17.20
0;25000;4;0;1000;0;16.95
0;25000;4;0;2000;0;16.78
0;25000;4;0;3000;0;16.06
0;25000;4;1;0;0;18.41
0;25000;4;1;100;0;18.08
0;25000;4;1;500;0;17.38
0;25000;4;1;1000;0;16.87
0;25000;4;1;2000;0;16.34
0;25000;4;1;3000;0;15.64
0;25000;8;0;0;0;18.12
0;25000;8;0;100;0;18.64
0;25000;8;0;500;0;17.85
0;25000;8;0;1000;0;17.37
0;25000;8;0;2000;0;16.50
0;25000;8;0;3000;0;15.18
0;25000;8;1;0;0;17.80
0;25000;8;1;100;0;18.14
0;25000;8;1;500;0;17.82
0;25000;8;1;1000;0;16.61
0;25000;8;1;2000;0;16.00
0;25000;8;1;3000;0;15.90
0;25000;12;0;0;0;18.54
0;25000;12;0;100;0;18.21
0;25000;12;0;500;0;17.57
0;25000;12;0;1000;0;16.77
0;25000;12;0;2000;0;16.44
0;25000;12;0;3000;0;15.88
0;25000;12;1;0;0;18.01
0;25000;12;1;100;0;17.25
0;25000;12;1;500;0;17.19
0;25000;12;1;1000;0;16.63
0;25000;12;1;2000;0;16.74
0;25000;12;1;3000;0;15.54
0;25000;16;0;0;0;18.40
0;25000;16;0;100;0;18.87
0;25000;16;0;500;0;17.97
0;25000;16;0;1000;0;17.92
0;25000;16;0;2000;0;16.96
0;25000;16;0;3000;0;15.81
0;25000;16;1;0;0;18.04
0;25000;16;1;100;0;18.45
0;25000;16;1;500;0;17.10
0;25000;16;1;1000;0;16.53
0;25000;16;1;2000;0;16.56
0;25000;16;1;3000;0;15.72
0;50000;0;0;0;0;4.17
0;50000;0;0;100;0;8.27
0;50000;0;0;500;0;7.64
0;50000;0;0;1000;0;7.59
0;50000;0;0;2000;0;8.53
0;50000;0;0;3000;0;8.43
0;50000;0;1;0;0;9.07
0;50000;0;1;100;0;9.67
0;50000;0;1;500;0;9.44
0;50000;0;1;1000;0;9.73
0;50000;0;1;2000;0;9.11
0;50000;0;1;3000;0;8.81
0;50000;1;0;0;0;10.03
0;50000;1;0;100;0;10.00
0;50000;1;0;500;0;9.58
0;50000;1;0;1000;0;9.53
0;50000;1;0;2000;0;9.05
0;50000;1;0;3000;0;8.94
0;50000;1;1;0;0;7.52
0;50000;1;1;100;0;7.20
0;50000;1;1;500;0;8.40
0;50000;1;1;1000;0;7.97
0;50000;1;1;2000;0;8.42
0;50000;1;1;3000;0;7.77
0;50000;2;0;0;0;9.08
0;50000;2;0;100;0;9.34
0;50000;2;0;500;0;8.96
0;50000;2;0;1000;0;9.00
0;50000;2;0;2000;0;8.70
0;50000;2;0;3000;0;8.45
0;50000;2;1;0;0;8.74
0;50000;2;1;100;0;9.08
0;50000;2;1;500;0;9.04
0;50000;2;1;1000;0;8.80
0;50000;2;1;2000;0;8.20
0;50000;2;1;3000;0;8.19
0;50000;4;0;0;0;9.08
0;50000;4;0;100;0;9.22
0;50000;4;0;500;0;9.41
0;50000;4;0;1000;0;8.76
0;50000;4;0;2000;0;8.86
0;50000;4;0;3000;0;8.36
0;50000;4;1;0;0;8.87
0;50000;4;1;100;0;8.56
0;50000;4;1;500;0;8.54
0;50000;4;1;1000;0;8.80
0;50000;4;1;2000;0;8.48
0;50000;4;1;3000;0;7.90
0;50000;8;0;0;0;8.41
0;50000;8;0;100;0;9.78
0;50000;8;0;500;0;8.94
0;50000;8;0;1000;0;8.72
0;50000;8;0;2000;0;8.96
0;50000;8;0;3000;0;8.41
0;50000;8;1;0;0;8.45
0;50000;8;1;100;0;9.44
0;50000;8;1;500;0;8.78
0;50000;8;1;1000;0;8.74
0;50000;8;1;2000;0;8.71
0;50000;8;1;3000;0;7.96
0;50000;12;0;0;0;8.18
0;50000;12;0;100;0;9.18
0;50000;12;0;500;0;8.72
0;50000;12;0;1000;0;8.97
0;50000;12;0;2000;0;9.03
0;50000;12;0;3000;0;8.57
0;50000;12;1;0;0;9.00
0;50000;12;1;100;0;8.92
0;50000;12;1;500;0;9.04
0;50000;12;1;1000;0;8.50
0;50000;12;1;2000;0;8.43
0;50000;12;1;3000;0;8.18
0;50000;16;0;0;0;8.86
0;50000;16;0;100;0;9.41
0;50000;16;0;500;0;9.00
0;50000;16;0;1000;0;8.74
0;50000;16;0;2000;0;8.84
0;50000;16;0;3000;0;7.87
0;50000;16;1;0;0;8.63
0;50000;16;1;100;0;9.34
0;50000;16;1;500;0;8.09
0;50000;16;1;1000;0;8.30
0;50000;16;1;2000;0;8.68
0;50000;16;1;3000;0;8.05
0;75000;0;0;0;0;3.13
0;75000;0;0;100;0;6.03
0;75000;0;0;500;0;5.68
0;75000;0;0;1000;0;4.81
0;75000;0;0;2000;0;4.49
0;75000;0;0;3000;0;5.00
0;75000;0;1;0;0;5.43
0;75000;0;1;100;0;6.53
0;75000;0;1;500;0;6.35
0;75000;0;1;1000;0;5.71
0;75000;0;1;2000;0;5.90
0;75000;0;1;3000;0;5.65
0;75000;1;0;0;0;5.99
0;75000;1;0;100;0;5.96
0;75000;1;0;500;0;6.18
0;75000;1;0;1000;0;5.81
0;75000;1;0;2000;0;6.23
0;75000;1;0;3000;0;5.58
0;75000;1;1;0;0;5.69
0;75000;1;1;100;0;4.75
0;75000;1;1;500;0;5.28
0;75000;1;1;1000;0;5.48
0;75000;1;1;2000;0;5.14
0;75000;1;1;3000;0;4.88
0;75000;2;0;0;0;5.60
0;75000;2;0;100;0;6.23
0;75000;2;0;500;0;5.91
0;75000;2;0;1000;0;5.96
0;75000;2;0;2000;0;5.70
0;75000;2;0;3000;0;5.97
0;75000;2;1;0;0;6.07
0;75000;2;1;100;0;5.78
0;75000;2;1;500;0;5.47
0;75000;2;1;1000;0;6.01
0;75000;2;1;2000;0;5.72
0;75000;2;1;3000;0;5.39
0;75000;4;0;0;0;5.60
0;75000;4;0;100;0;6.10
0;75000;4;0;500;0;5.84
